"char";"storage";"item";"quantity"
"Erzalxix";"inventory";"Vile Elixir +1";"1"
"Erzalxix";"inventory";"Taurus Wing";"1"
"Erzalxix";"inventory";"Lancewood Log";"2"
"Erzalxix";"inventory";"Behemoth Horn";"1"
"Erzalxix";"inventory";"Obsidian";"2"
"Erzalxix";"inventory";"Bloodthread";"46"
"Erzalxix";"inventory";"T. Whiteshell";"16"
"Erzalxix";"inventory";"Darksteel Sheet";"1"
"Erzalxix";"inventory";"Goliath Worm";"4"
"Erzalxix";"inventory";"Kindred's Crest";"21"
"Erzalxix";"inventory";"Divine Bijou";"1"
"Erzalxix";"inventory";"Icarus Wing";"1"
"Erzalxix";"inventory";"Avatar Blood";"16"
"Erzalxix";"inventory";"Odious Quipu";"1"
"Erzalxix";"inventory";"Zaffre Yggrete";"1"
"Erzalxix";"inventory";"Relic Iron";"5"
"Erzalxix";"inventory";"Raxa";"7"
"Erzalxix";"inventory";"Ram Staff";"1"
"Erzalxix";"inventory";"Smilodon Hide";"1"
"Erzalxix";"inventory";"Refractive Crystal";"8"
"Erzalxix";"inventory";"S. Kindred Crest";"53"
"Erzalxix";"inventory";"Oxblood Orb";"1"
"Erzalxix";"inventory";"Pearlsack";"1"
"Erzalxix";"inventory";"Colossal Skull";"6"
"Erzalxix";"inventory";"H. Kindred Crest";"27"
"Erzalxix";"inventory";"Griffon Ring";"1"
"Erzalxix";"wardrobe";"Orvail Souliers +1";"1"
"Erzalxix";"wardrobe";"Focus Collar";"1"
"Erzalxix";"wardrobe";"Hume Pants";"1"
"Erzalxix";"wardrobe";"Matre Bell";"1"
"Erzalxix";"wardrobe";"Boonwell Staff";"1"
"Erzalxix";"wardrobe";"Yarak Torque";"1"
"Erzalxix";"wardrobe";"Nexus Cape";"1"
"Erzalxix";"wardrobe";"Diemer Gorget";"1"
"Erzalxix";"wardrobe";"Two-Hand. Sword";"1"
"Erzalxix";"wardrobe";"Eminent Dagger";"1"
"Erzalxix";"wardrobe";"Kladenets";"1"
"Erzalxix";"wardrobe";"Ponderous Gully";"1"
"Erzalxix";"wardrobe";"Beast Whistle";"1"
"Erzalxix";"wardrobe";"Geo. Galero +1";"1"
"Erzalxix";"wardrobe";"Sprinter's Shoes";"1"
"Erzalxix";"wardrobe";"Chocobo Shirt";"1"
"Erzalxix";"wardrobe";"Nepote Bell";"1"
"Erzalxix";"wardrobe";"Wayfarer Circlet";"1"
"Erzalxix";"wardrobe";"Eminent Staff";"1"
"Erzalxix";"wardrobe";"Orvail Pants +1";"1"
"Erzalxix";"wardrobe";"Otronif Boots";"1"
"Erzalxix";"wardrobe";"Warlock's Boots";"1"
"Erzalxix";"wardrobe";"Filiae Bell";"1"
"Erzalxix";"wardrobe";"Faussar";"1"
"Erzalxix";"wardrobe";"Crow Beret";"1"
"Erzalxix";"wardrobe";"Apollo's Staff";"1"
"Erzalxix";"wardrobe";"Samanisi Cape";"1"
"Erzalxix";"wardrobe";"Warlock's Tights";"1"
"Erzalxix";"wardrobe";"Misery Staff";"1"
"Erzalxix";"wardrobe";"Crow Hose";"1"
"Erzalxix";"wardrobe";"Warlock's Tabard";"1"
"Erzalxix";"wardrobe";"Shokujo Happi";"1"
"Erzalxix";"wardrobe";"Orvail Cuffs +1";"1"
"Erzalxix";"wardrobe";"Renaye Ring";"1"
"Erzalxix";"wardrobe";"Weath. Souliers +1";"1"
"Erzalxix";"wardrobe";"Weath. Cuffs +1";"1"
"Erzalxix";"wardrobe";"Fencing Degen";"1"
"Erzalxix";"wardrobe";"Wayfarer Robe";"1"
"Erzalxix";"wardrobe";"Eminent Wand";"1"
"Erzalxix";"wardrobe";"Orvail Corona +1";"1"
"Erzalxix";"wardrobe";"Echad Ring";"1"
"Erzalxix";"wardrobe";"Destrier Beret";"1"
"Erzalxix";"wardrobe";"Dowser's Wand";"1"
"Erzalxix";"wardrobe";"Moon Earring";"1"
"Erzalxix";"wardrobe";"Hume Vest";"1"
"Erzalxix";"wardrobe";"War Hoop";"1"
"Erzalxix";"wardrobe";"Warlock's Gloves";"1"
"Erzalxix";"wardrobe";"Warlock's Chapeau";"1"
"Erzalxix";"wardrobe";"Shoal Maillot +1";"1"
"Erzalxix";"wardrobe";"Hume F Boots";"1"
"Erzalxix";"wardrobe";"Crow Jupon";"1"
"Erzalxix";"wardrobe";"Medicor Sword";"1"
"Erzalxix";"wardrobe";"Crow Gaiters";"1"
"Erzalxix";"wardrobe";"Hume F Gloves";"1"
"Erzalxix";"wardrobe";"Shuriken";"99"
"Erzalxix";"wardrobe";"Geo. Pants +1";"1"
"Erzalxix";"wardrobe";"Excalipoor";"1"
"Erzalxix";"wardrobe";"Crow Bracers";"1"
"Erzalxix";"wardrobe";"Geo. Sandals +1";"1"
"Erzalxix";"wardrobe";"Eminent Bell";"1"
"Erzalxix";"wardrobe";"Sho. Hanmomohiki";"1"
"Erzalxix";"wardrobe";"Defending Ring";"1"
"Erzalxix";"wardrobe";"Geo. Tunic +1";"1"
"Erzalxix";"wardrobe";"Gende. Caubeen";"1"
"Erzalxix";"wardrobe";"Orvail Robe +1";"1"
"Erzalxix";"wardrobe";"Warp Ring";"1"
"Erzalxix";"wardrobe";"Steel Greaves";"1"
"Erzalxix";"wardrobe";"Trial Wand";"1"
"Erzalxix";"wardrobe";"Yoto";"1"
"Erzalxix";"wardrobe";"Marine Top +1";"1"
"Erzalxix";"wardrobe";"Kunai";"2"
"Erzalxix";"wardrobe";"Weath. Pants +1";"1"
"Erzalxix";"wardrobe";"Dancer's Tights";"1"
"Erzalxix";"wardrobe";"Carbon Fish. Rod";"1"
"Erzalxix";"wardrobe";"Iximulew Cape";"1"
"Erzalxix";"wardrobe";"Geo. Mitaines +1";"1"
"Erzalxix";"wardrobe";"Ghastly Tathlum";"1"
"Erzalxix";"safe";"Argute Loafers";"1"
"Erzalxix";"safe";"Heathen's Earring";"1"
"Erzalxix";"safe";"Paralyze";"1"
"Erzalxix";"safe";"Beitetsu";"8"
"Erzalxix";"safe";"Cleric's Duckbills";"1"
"Erzalxix";"safe";"Frayed Sack (M2)";"1"
"Erzalxix";"safe";"H-P Bayld";"3"
"Erzalxix";"safe";"Obsidian";"1"
"Erzalxix";"safe";"Sorcerer's Gloves";"1"
"Erzalxix";"safe";"Akaso";"1"
"Erzalxix";"safe";"Relic Sword";"1"
"Erzalxix";"safe";"Pantin Dastanas";"1"
"Erzalxix";"safe";"Absorb-INT";"1"
"Erzalxix";"safe";"Warrior's Mask";"1"
"Erzalxix";"safe";"Relic Knuckles";"1"
"Erzalxix";"safe";"Light Geode";"2"
"Erzalxix";"safe";"Breeze Geode";"1"
"Erzalxix";"safe";"Relic Maul";"1"
"Erzalxix";"safe";"Bronze Bed";"1"
"Erzalxix";"safe";"Abyss Gauntlets";"1"
"Erzalxix";"safe";"Absorb-VIT";"1"
"Erzalxix";"safe";"Valor Leggings";"1"
"Erzalxix";"safe";"Celadon Yggrete";"1"
"Erzalxix";"safe";"Relic Dagger";"1"
"Erzalxix";"safe";"Summoner's Spats";"1"
"Erzalxix";"safe";"Pluton";"9"
"Erzalxix";"safe";"Etoile Bangles";"1"
"Erzalxix";"safe";"Mahogany Bed";"1"
"Erzalxix";"safe";"Assassin's Bonnet";"1"
"Erzalxix";"safe";"Red Oven Mitt";"1"
"Erzalxix";"satchel";"Macrocosmic Orb";"1"
"Erzalxix";"satchel";"Den Coffer Key";"1"
"Erzalxix";"satchel";"Sickle";"76"
"Erzalxix";"satchel";"H. Kindred Crest";"1"
"Erzalxix";"satchel";"Phoenix Feather";"1"
"Erzalxix";"satchel";"Wind Crystal";"3"
"Erzalxix";"satchel";"Mythril Ore";"2"
"Erzalxix";"satchel";"Kuftal Coffer Key";"1"
"Erzalxix";"satchel";"Toolbag (Shino)";"1"
"Erzalxix";"satchel";"Goshenite";"1"
"Erzalxix";"satchel";"Dark Crystal";"1"
"Erzalxix";"satchel";"Beastmen's Seal";"2"
"Erzalxix";"satchel";"Torn Epistle";"1"
"Erzalxix";"satchel";"Montagna";"10"
"Erzalxix";"satchel";"Aeroja";"1"
"Erzalxix";"satchel";"Rarab Tail";"4"
"Erzalxix";"satchel";"Kindred's Crest";"5"
"Erzalxix";"satchel";"Stun";"1"
"Erzalxix";"satchel";"Riftborn Boulder";"75"
"Erzalxix";"satchel";"Adventurer Cpn.";"1"
"Erzalxix";"satchel";"Toolbag (Uchi)";"1"
"Erzalxix";"satchel";"Silver Ore";"1"
"Erzalxix";"satchel";"Iron Ore";"6"
"Erzalxix";"satchel";"Leviatite";"1"
"Erzalxix";"satchel";"Boulder Case";"1"
"Erzalxix";"satchel";"Venom Potion";"1"
"Erzalxix";"satchel";"Midrium Ingot";"1"
"Erzalxix";"satchel";"Velkk Necklace";"3"
"Erzalxix";"satchel";"Twitherym Wing";"1"
"Erzalxix";"satchel";"Elshena";"4"
"Erzalxix";"satchel";"Airlixir";"7"
"Erzalxix";"satchel";"Fire Crystal";"2"
"Erzalxix";"satchel";"Coral Crest Key";"1"
"Erzalxix";"satchel";"Lebondopt Wing";"1"
"Erzalxix";"satchel";"Wyvern Skin";"1"
"Erzalxix";"satchel";"Uffrat";"1"
"Erzalxix";"satchel";"Scr. Chest Key";"1"
"Erzalxix";"satchel";"Sealion Crest Key";"1"
"Erzalxix";"satchel";"Beitetsu Parcel";"1"
"Erzalxix";"satchel";"Chocobo Egg";"1"
"Erzalxix";"satchel";"Frayed Sack (M1)";"2"
"Erzalxix";"satchel";"Frayed Sack (A1)";"1"
"Erzalxix";"satchel";"Moonstone";"2"
"Erzalxix";"satchel";"Snoll Gelato";"12"
"Erzalxix";"satchel";"Abdhaljs Seal";"1"
"Erzalxix";"satchel";"Earth Crystal";"1"
"Erzalxix";"satchel";"Water Crystal";"1"
"Erzalxix";"satchel";"Refractive Crystal";"4"
"Erzalxix";"satchel";"Titanite";"1"
"Erzalxix";"satchel";"Pluton";"33"
"Erzalxix";"satchel";"Tenshodo Invite";"1"
"Erzalxix";"satchel";"Toolbag (Sanja)";"1"
"Erzalxix";"satchel";"Thunder Geode";"1"
"Erzalxix";"satchel";"Insect Wing";"1"
"Erzalxix";"sack";"Gr.Abjuration: Lg.";"1"
