"char";"storage";"item";"quantity"
"Saberlxix";"inventory";"Saotome Haidate";"1"
"Saberlxix";"inventory";"Kidney Stone";"1"
"Saberlxix";"inventory";"Colossal Skull";"3"
"Saberlxix";"inventory";"Joyous's Moss";"1"
"Saberlxix";"inventory";"H. Kindred Crest";"2"
"Saberlxix";"inventory";"Boii Earring";"1"
"Saberlxix";"inventory";"Infinity Core";"1"
"Saberlxix";"inventory";"T. Tama-hagane";"1"
"Saberlxix";"inventory";"L. Jadeshell";"1"
"Saberlxix";"inventory";"Moblin Thread";"2"
"Saberlxix";"inventory";"Tonberry Coat";"1"
"Saberlxix";"inventory";"Relic Iron";"1"
"Saberlxix";"inventory";"Fiendish Tome (11)";"1"
"Saberlxix";"inventory";"Airlixir";"11"
"Saberlxix";"inventory";"1 Byne Bill";"50"
"Saberlxix";"inventory";"Lustreless Wing";"18"
"Saberlxix";"inventory";"Verdigris St. +1";"12"
"Saberlxix";"inventory";"Oxblood Orb";"1"
"Saberlxix";"inventory";"Pearlsack";"1"
"Saberlxix";"inventory";"Shoalweed";"1"
"Saberlxix";"inventory";"O. Bronzepiece";"52"
"Saberlxix";"inventory";"Fiendish Tome (14)";"1"
"Saberlxix";"inventory";"Snowsteel Ore";"3"
"Saberlxix";"inventory";"Titanium Ore";"3"
"Saberlxix";"inventory";"Lancewood Log";"3"
"Saberlxix";"inventory";"Rem's Tale Ch.8";"2"
"Saberlxix";"inventory";"Kunwu Ore";"1"
"Saberlxix";"inventory";"Wicce Earring";"1"
"Saberlxix";"inventory";"Fili Earring";"1"
"Saberlxix";"inventory";"Snap. Secretion";"1"
"Saberlxix";"inventory";"Storage Slip 06";"1"
"Saberlxix";"inventory";"Divine Bijou";"1"
"Saberlxix";"inventory";"Airlixir +1";"5"
"Saberlxix";"inventory";"Frgtn. Journey";"58"
"Saberlxix";"inventory";"T. Whiteshell";"84"
"Saberlxix";"inventory";"Forgotten Step";"26"
"Saberlxix";"inventory";"Rem's Tale Ch.10";"1"
"Saberlxix";"inventory";"Maliya. Coral Orb";"1"
"Saberlxix";"inventory";"S. Kindred Crest";"15"
